id,title,price_raw,price_uah,negotiable,area_m2,district,city,listing_date,url
921483016,"Сдам 1-ю квартиру Позняки, ул.Урловская 38",12 000 грн.,12000.0,False,50 м²,Дарницький,Київ,24 квітня 2026 р.,https://www.olx.ua/d/uk/obyavlenie/sdam-1-yu-kvartiru-poznyaki-ul-urlovskaya-38-ID10mrPi.html?search_reason=search%7Corganic
918973228,Довгострокова здача в оренду 1к квартири ЖК Варшавський плюс,24 000 грн.,24000.0,False,45 м²,Подільський,Київ,26 квітня 2026 р.,https://www.olx.ua/d/uk/obyavlenie/dovgostrokova-zdacha-v-orendu-1k-kvartiri-zhk-varshavskiy-plyus-ID10bUUQ.html?search_reason=search%7Corganic
888613502,"Здам смарт, 20 м2 ЖК «Старт» Шолуденко б. 30, м. Лук’янівська – 8 хв",16 000 грн.,16000.0,False,20 м²,Шевченківський,Київ,26 квітня 2026 р.,https://www.olx.ua/d/uk/obyavlenie/zdam-smart-20-m2-zhk-start-sholudenko-b-30-m-lukyanvska-8-hv-IDY8vXQ.html?search_reason=search%7Corganic
912469002,"Оренда 1-к квартири в ЖК “Нобель” вул. Гоголівська, 14",28 000 грн.Договірна,28000.0,True,55 м²,Шевченківський,Київ,25 квітня 2026 р.,https://www.olx.ua/d/uk/obyavlenie/orenda-1-k-kvartiri-v-zhk-nobel-vul-gogolvska-14-IDZKCRY.html?search_reason=search%7Corganic
921618440,Здам 1-к квартиру на Дегтярівській!метро Лук'янівська пішки!,10 000 грн.,10000.0,False,26 м²,Шевченківський,Київ,26 квітня 2026 р.,https://www.olx.ua/d/uk/obyavlenie/zdam-1-k-kvartiru-na-degtyarvsky-metro-lukyanvska-pshki-ID10n13y.html?search_reason=search%7Corganic
921475914,Урловская 38 Без комиссии,13 000 грн.,13000.0,False,45 м²,Дарницький,Київ,24 квітня 2026 р.,https://www.olx.ua/d/uk/obyavlenie/urlovskaya-38-bez-komissii-ID10mpYK.html?search_reason=search%7Corganic
883018853,Оренда однокімнатної квартири,19 000 грн.,19000.0,False,45 м²,Голосіївський,Київ,26 квітня 2026 р.,https://www.olx.ua/d/uk/obyavlenie/orenda-odnokmnatno-kvartiri-IDXL3xz.html?search_reason=search%7Corganic
921670747,Оренда 1к квартири на просп. Берестейський,14 000 грн.,14000.0,False,40 м²,Святошинський,Київ,26 квітня 2026 р.,https://www.olx.ua/d/uk/obyavlenie/orenda-1k-kvartiri-na-prosp-beresteyskiy-ID10neFd.html?search_reason=search%7Corganic
896455556,БЕЗ КОМІСІЇ !!! Здам 1-кімнатну квартиру по вул. Радченко,12 000 грн.,12000.0,False,37 м²,Солом'янський,Київ,26 квітня 2026 р.,https://www.olx.ua/d/uk/obyavlenie/bez-koms-zdam-1-kmnatnu-kvartiru-po-vul-radchenko-IDYFr2A.html?search_reason=search%7Corganic
912208014,"Оренда 2к квартири, ЖК Tetris Hall, вул. Ділова 1/2, Олімпійська",87 985.33 грн.,87985.33,False,55 м²,Печерський,Київ,26 квітня 2026 р.,https://www.olx.ua/d/uk/obyavlenie/orenda-2k-kvartiri-zhk-tetris-hall-vul-dlova-1-2-olmpyska-IDZJvYu.html?search_reason=search%7Corganic
